name,young_modulus,poisson_ratio,density,color_r,color_g,color_b,hardness
WOOD,10000000000.0,0.35,600,139,69,19,
STEEL,210000000000.0,0.3,7850,192,192,192,
ALUMINUM,69000000000.0,0.33,2700,211,211,211,
CONCRETE,3000000000.0,0.2,2400,128,128,128,
RUBBER,10000.0,0.48,1100,0,0,0,
COPPER,110000000000.0,0.34,8960,135,206,235,
GLASS,50000000000.0,0.22,2500,135,206,235,
TITANIUM,116000000000.0,0.32,4500,169,169,169,
BRASS,100000000000.0,0.34,8500,218,165,32,
PLA,4400000000.0,0.3,1250,255,228,196,
ABS,2300000000.0,0.35,1050,0,0,0,
PETG,2590000000.0,0.4,1300,176,196,222,
HYDROGEL,1000000.0,0.35,1000,173,216,230,
POLYACRYLAMIDE,1000000.0,0.45,1050,250,250,210,
CAST_IRON,170000000000.0,0.26,7200,128,128,128,
CADMIUM,64000000000.0,0.31,8650,184,184,208,
CHROMIUM,248000000000.0,0.31,7190,180,180,180,
GRAPHITE,20000000000.0,0.2,2050,0,0,0,
NICKEL,170000000000.0,0.31,8900,175,175,175,
NYLON,4000000000.0,0.39,1130,255,255,255,
PLEXIGLASS,3300000000.0,0.37,1190,255,255,255,
POLYSTYRENE,2500000000.0,0.4,1040,255,255,255,
ASPHALT,3000000000.0,0.35,2500,0,0,0,
TEFLON,500000000.0,0.47,2200,255,255,255,
ZINC,82700000000.0,0.25,7120,192,192,192,
PINE_WOOD,11000000000.0,0.35,500,139,69,19,
STAINLESS_STEEL_17_4_PH,280000000000.0,0.3,7800,192,192,192,
ABS_FDM,1650000000.0,0.35,1050,0,0,0,
FORMLABS_TOUGH_2000_RESIN_SLA,2200000000.0,0.3,1200,100,100,100,
FORMLABS_NYLON_12_SLS,1850000000.0,0.4,970,176,196,222,
